Date detected,Infected premises,Province,Premises type,Premises classification,PCZ,PCZ status
"November 26, 2022",BC-IP051,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 26, 2022",BC-IP050,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 26, 2022",BC-IP049,British Columbia,commercial,poultry,PCZ-152,Revoked
"November 25, 2022",BC-IP048,British Columbia,commercial,poultry,PCZ-158,Revoked
"November 25, 2022",BC-IP047,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 26, 2022",BC-IP046,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 24, 2022",BC-IP044,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 24, 2022",BC-IP045,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 23, 2022",BC-IP043,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP042,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP041,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 22, 2022",BC-IP040,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP039,British Columbia,commercial,poultry,PCZ-156,Revoked
"November 22, 2022",BC-IP038,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 21, 2022",BC-IP037,British Columbia,commercial,poultry,PCZ-155,Revoked
"November 19, 2022",BC-IP036,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 19, 2022",BC-IP035,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 19, 2022",BC-IP034,British Columbia,commercial,poultry,PCZ-152,Revoked
"November 19, 2022",BC-IP033,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 18, 2022",BC-IP032,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 16, 2022",BC-IP031,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 16, 2022",BC-IP030,British Columbia,commercial,poultry,PCZ-148,Revoked
"October 20, 2022",BC-IP028,British Columbia,commercial,poultry,PCZ-133,Revoked
"October 15, 2022",BC-IP027,British Columbia,commercial,poultry,PCZ-127,Revoked
"September 12, 2022",BC-IP019,British Columbia,commercial,poultry,PCZ-84,Revoked
"June 8, 2022",BC-IP016,British Columbia,commercial,poultry,PCZ-70,Revoked
"May 20, 2022",BC-IP011,British Columbia,commercial,poultry,PCZ-64,Revoked
"May 19, 2022",BC-IP009,British Columbia,commercial,poultry,PCZ-64,Revoked
"April 13, 2022",BC-IP001,British Columbia,commercial,poultry,PCZ-24,Revoked
"November 8, 2023",MB-IP22,Manitoba,commercial,poultry,PCZ-214,Revoked
"October 26, 2022",MB-IP20,Manitoba,commercial,poultry,PCZ-137,Revoked
"October 24, 2022",MB-IP19,Manitoba,commercial,poultry,PCZ-136,Revoked
"October 7, 2022",MB-IP18,Manitoba,commercial,poultry,PCZ-118,Revoked
"October 6, 2022",MB-IP17,Manitoba,commercial,poultry,PCZ-101,Revoked
"October 6, 2022",MB-IP16,Manitoba,commercial,poultry,PCZ-115,Revoked
"October 6, 2022",MB-IP15,Manitoba,commercial,poultry,PCZ-101,Revoked
"October 5, 2022",MB-IP14,Manitoba,commercial,poultry,PCZ-97,Revoked
"October 1, 2022",MB-IP13,Manitoba,commercial,poultry,PCZ-112,Revoked
"September 30, 2022",MB-IP12,Manitoba,commercial,poultry,PCZ-111,Revoked
"September 30, 2022",MB-IP11,Manitoba,commercial,poultry,PCZ-110,Revoked
"September 27, 2022",MB-IP09,Manitoba,commercial,poultry,PCZ-101,Revoked
"September 25, 2022",MB-IP08,Manitoba,commercial,poultry,PCZ-92,Revoked
"September 22, 2022",MB-IP07,Manitoba,commercial,poultry,PCZ 97,Revoked
"September 19, 2022",MB-IP06,Manitoba,commercial,poultry,PCZ-92,Revoked
"September 16, 2022",MB-IP05,Manitoba,commercial,poultry,PCZ-87,Revoked
"September 14, 2022",MB-IP04,Manitoba,commercial,poultry,PCZ-85,Revoked
"April 23, 2022",MB-IP01,Manitoba,commercial,poultry,PCZ-35,Revoked
"February 11, 2022",NS-IP03,Nova Scotia,commercial,poultry,,
"February 3, 2022",NS-IP02,Nova Scotia,commercial,poultry,,
"January 30, 2024",ON-IP49,Ontario,commercial,poultry,PCZ-231,Revoked
"April 19, 2023",ON-IP47,Ontario,commercial,poultry,PCZ-185,Revoked
"April 5, 2023",ON-IP46,Ontario,commercial,poultry,PCZ-181,Revoked
"March 14, 2023",ON-IP45,Ontario,commercial,poultry,PCZ-177,Revoked
"December 21, 2022",ON-IP43,Ontario,commercial,poultry,PCZ-167,Revoked
"December 17, 2022",ON-IP42,Ontario,commercial,poultry,PCZ-167,Revoked
"December 13, 2022",ON-IP41,Ontario,commercial,poultry,PCZ-167,Revoked
"November 27, 2022",ON-IP40,Ontario,commercial,poultry,PCZ-160,Revoked
"November 21, 2022",ON-IP39,Ontario,commercial,poultry,PCZ-154,Revoked
"November 18, 2022",ON-IP38,Ontario,commercial,poultry,PCZ-150,Revoked
"October 18, 2022",ON-IP36,Ontario,commercial,poultry,PCZ-130,Revoked
"September 29, 2022",ON-IP31,Ontario,commercial,poultry,PCZ-109,Revoked
"September 17, 2022",ON-IP27,Ontario,commercial,poultry,PCZ-91,Revoked
"May 18, 2022",ON-IP26,Ontario,commercial,poultry,PCZ-65,Revoked
"May 10, 2022",ON-IP25,Ontario,commercial,poultry,PCZ-45,Revoked
"May 6, 2022",ON-IP24,Ontario,commercial,poultry,PCZ-58,Revoked
"May 4, 2022",ON-IP23,Ontario,commercial,poultry,PCZ-55,Revoked
"April 29, 2022",ON-IP20,Ontario,commercial,poultry,PCZ-45,Revoked
"April 26, 2022",ON-IP19,Ontario,commercial,poultry,PCZ-41,Revoked
"April 21, 2022",ON-IP17,Ontario,commercial,poultry,PCZ-33,Revoked
"April 14, 2022",ON-IP16,Ontario,commercial,poultry,PCZ-22,Revoked
"April 14, 2022",ON-IP15,Ontario,commercial,poultry,PCZ-06,Revoked
"April 12, 2022",ON-IP14,Ontario,commercial,poultry,PCZ-06,Revoked
"April 12, 2022",ON-IP12,Ontario,commercial,poultry,PCZ-10,Revoked
"April 10, 2022",ON-IP07,Ontario,commercial,poultry,PCZ-10,Revoked
"April 9, 2022",ON-IP13,Ontario,commercial,poultry,PCZ-12,Revoked
"April 6, 2022",ON-IP11,Ontario,commercial,poultry,PCZ-09,Revoked
"April 6, 2022",ON-IP10,Ontario,commercial,poultry,PCZ-08,Revoked
"April 5, 2022",ON-IP08,Ontario,commercial,poultry,PCZ-06,Revoked
"April 4, 2022",ON-IP06,Ontario,commercial,poultry,PCZ-05,Revoked
"March 30, 2022",ON-IP03,Ontario,commercial,poultry,PCZ-01,Revoked
"March 28, 2022",ON-IP02,Ontario,commercial,poultry,PCZ-02,Revoked
"March 27, 2022",ON-IP01,Ontario,commercial,poultry,PCZ-01,Revoked
"February 9, 2024",QC-IP53,Quebec,commercial,poultry,PCZ-233,Revoked
"January 3, 2024",QC-IP52,Quebec,commercial,poultry,PCZ-229,Revoked
"December 4, 2023",QC-IP51,Quebec,commercial,poultry,PCZ-225,Revoked
"November 20, 2023",QC-IP50,Quebec,commercial,poultry,PCZ-216,Revoked
"November 15, 2023",QC-IP49,Quebec,commercial,poultry,PCZ-216,Revoked
"October 25, 2023",QC-IP48,Quebec,commercial,poultry,PCZ-201,Revoked
"May 6, 2023",QC-IP47,Quebec,commercial,poultry,PCZ-190,Revoked
"April 28, 2023",QC-IP46,Quebec,commercial,poultry,PCZ-188,Revoked
"April 22, 2023",QC-IP45,Quebec,commercial,poultry,PCZ-184,Revoked
"April 22, 2023",QC-IP44,Quebec,commercial,poultry,PCZ-184,Revoked
"April 21, 2023",QC-IP43,Quebec,commercial,poultry,PCZ-187,Revoked
"April 19, 2023",QC-IP42,Quebec,commercial,poultry,PCZ-184,Revoked
"April 19, 2023",QC-IP41,Quebec,commercial,poultry,PCZ-184,Revoked
"April 18, 2023",QC-IP39,Quebec,commercial,poultry,PCZ-186,Revoked
"April 18, 2023",QC-IP40,Quebec,commercial,poultry,PCZ-187,Revoked
"April 17, 2023",QC-IP38,Quebec,commercial,poultry,PCZ-184,Revoked
"April 13, 2023",QC-IP37,Quebec,commercial,poultry,PCZ-182,Revoked
"April 4, 2023",QC-IP35,Quebec,commercial,poultry,PCZ-180,Revoked
"April 3, 2023",QC-IP34,Quebec,commercial,poultry,PCZ-179,Revoked
"April 3, 2023",QC-IP33,Quebec,commercial,poultry,PCZ-178,Revoked
"March 27, 2023",QC-IP32,Quebec,commercial,poultry,PCZ-178,Revoked
"February 8, 2023",QC-IP31,Quebec,commercial,poultry,PCZ-173,Revoked
"February 8, 2023",QC-IP30,Quebec,commercial,poultry,PCZ-174,Revoked
"February 8, 2023",QC-IP29,Quebec,commercial,poultry,PCZ-172,Revoked
"February 2, 2023",QC-IP28,Quebec,commercial,poultry,PCZ-172,Revoked
"February 2, 2023",QC-IP27,Quebec,commercial,poultry,PCZ-173,Revoked
"February 2, 2023",QC-IP26,Quebec,commercial,poultry,PCZ-173,Revoked
"January 31, 2023",QC-IP25,Quebec,commercial,poultry,PCZ-172,Revoked
"January 31, 2023",QC-IP24,Quebec,commercial,poultry,PCZ-172,Revoked
"November 5, 2022",QC-IP22,Quebec,commercial,poultry,PCZ-143,Revoked
"October 31, 2022",QC-IP20,Quebec,commercial,poultry,PCZ-143,Revoked
"October 27, 2022",QC-IP19,Quebec,commercial,poultry,PCZ-141,Revoked
"October 22, 2022",QC-IP18,Quebec,commercial,poultry,PCZ-135,Revoked
"October 18, 2022",QC-IP17,Quebec,commercial,poultry,PCZ-129,Revoked
"October 18, 2022",QC-IP16,Quebec,commercial,poultry,PCZ-128,Revoked
"October 7, 2022",QC-IP13,Quebec,commercial,poultry,PCZ-117,Revoked
"August 1, 2022",QC-IP12,Quebec,commercial,poultry,PCZ-76,Revoked
"July 21, 2022",QC-IP11,Quebec,commercial,poultry,PCZ-74,Revoked
"July 9, 2022",QC-IP10,Quebec,commercial,poultry,PCZ-73,Revoked
"July 3, 2022",QC-IP09,Quebec,commercial,poultry,PCZ-73,Revoked
"June 28, 2022",QC-IP08,Quebec,commercial,poultry,PCZ-73,Revoked
"April 21, 2022",QC-IP05,Quebec,commercial,poultry,PCZ-32,Revoked
"April 17, 2022",QC-IP04,Quebec,commercial,poultry,PCZ-28,Revoked
"April 14, 2022",QC-IP03,Quebec,commercial,poultry,PCZ-23,Revoked
"April 12, 2022",QC-IP01,Quebec,commercial,poultry,PCZ-18,Revoked
"November 4, 2023",SK-IP38,Saskatchewan,commercial,poultry,PCZ-208,Revoked
"November 1, 2023",SK-IP37,Saskatchewan,commercial,poultry,PCZ-205,Revoked
"November 1, 2023",SK-IP36,Saskatchewan,commercial,poultry,PCZ-204,Revoked
"October 31, 2023",SK-IP35,Saskatchewan,commercial,poultry,PCZ-203,Revoked
"October 31, 2023",SK-IP34,Saskatchewan,commercial,poultry,PCZ-202,Revoked
"September 21, 2023",SK-IP33,Saskatchewan,commercial,poultry,PCZ-192,Revoked
"November 14, 2022",SK-IP32,Saskatchewan,commercial,poultry,PCZ-146,Revoked
"October 27, 2022",SK-IP29,Saskatchewan,commercial,poultry,PCZ-139,Revoked
"October 19, 2022",SK-IP27,Saskatchewan,commercial,poultry,PCZ-132,Revoked
"October 7, 2022",SK-IP24,Saskatchewan,commercial,poultry,PCZ-119,Revoked
"October 5, 2022",SK-IP23,Saskatchewan,commercial,poultry,PCZ-114,Revoked
"September 30, 2022",SK-IP22,Saskatchewan,commercial,poultry,PCZ-107,Revoked
"September 24, 2022",SK-IP18,Saskatchewan,commercial,poultry,PCZ-99,Revoked
"September 19, 2022",SK-IP17,Saskatchewan,commercial,poultry,PCZ-94,Revoked
"September 12, 2022",SK-IP15,Saskatchewan,commercial,poultry,PCZ-83,Revoked
"September 9, 2022",SK-IP14,Saskatchewan,commercial,poultry,PCZ-80,Revoked
"May 4, 2022",SK-IP08,Saskatchewan,commercial,poultry,PCZ-56,Revoked
"April 26, 2022",SK-IP06,Saskatchewan,commercial,poultry,PCZ-44,Revoked
"April 24, 2022",SK-IP05,Saskatchewan,commercial,poultry,PCZ-40,Revoked
"April 22, 2022",SK-IP04,Saskatchewan,commercial,poultry,PCZ-36,Revoked
"April 16, 2022",SK-IP02,Saskatchewan,commercial,poultry,PCZ-30A,Revoked
"April 15, 2022",SK-IP01,Saskatchewan,commercial,poultry,PCZ-29,Revoked
