Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"October 31, 2025",SK-IP55  Municipal district of Preeceville No. 334 quarantine,Saskatchewan,non-commercial,non-poultry,,
"October 31, 2025",BC-IP253Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-FV4,Active
"October 30, 2025",AB-IP100Footnote *  Ponoka County,Alberta,commercial,poultry,PCZ-296,Revoked
"October 30, 2025",BC-IP252Footnote *  District of Summerland,British Columbia,non-commercial,non-poultry,,
"October 30, 2025",BC-IP251Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 30, 2025",AB-IP99Footnote *  Sturgeon County,Alberta,commercial,poultry,PCZ-295,Revoked
"October 30, 2025",AB-IP98Footnote *  County of Wetaskiwin No. 10,Alberta,commercial,poultry,PCZ-294,Revoked
"October 29, 2025",QC-IP64Footnote *  Rouville Regional County Municipality,Quebec,non-commercial,non-poultry,,
"October 28, 2025",BC-IP250Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-FV3,Active
"October 28, 2025",AB-IP97Footnote *  Leduc County,Alberta,commercial,poultry,PCZ-293,Revoked
"October 28, 2025",BC-IP249  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 27, 2025",BC-IP248Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 27, 2025",AB-IP96Footnote *  Strathcona County,Alberta,commercial,poultry,PCZ-292,Revoked
"October 26, 2025",BC-IP247Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 26, 2025",SK-IP54 Footnote *  Rural Municipality of Hoodoo No. 401,Saskatchewan,commercial,poultry,PCZ-291,Revoked
"October 25, 2025",BC-IP246  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 25, 2025",BC-IP245Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 25, 2025",MB-IP31Footnote *  Rural Municipality of Hanover,Manitoba,commercial,poultry,PCZ-290,Revoked
"October 24, 2025",BC-IP242  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 24, 2025",BC-IP243Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
